run_id,mode,bucket_ms,sequence,run_start_micros,scheduled_at_micros,fired_at_micros,drift_micros
idle-interval-100,1,100,18,1788887902528990,1788887904428990,1788887904595194,166204
idle-oneshot-100,0,100,19,1788887902435256,1788887904435256,1788887904611623,176367
idle-anchored-100,3,100,21,1788887902483083,1788887904683083,1788887904689254,6171
idle-interval-100,1,100,19,1788887902528990,1788887904528990,1788887904705350,176360
idle-oneshot-100,0,100,20,1788887902435256,1788887904535256,1788887904721420,186164
idle-oneshot-500,0,500,3,1788887902710258,1788887904710258,1788887904752932,42674
idle-anchored-500,3,500,3,1788887902755558,1788887904755558,1788887904759462,3904
idle-anchored-100,3,100,22,1788887902483083,1788887904783083,1788887904799479,16396
idle-interval-100,1,100,20,1788887902528990,1788887904628990,1788887904815527,186537
idle-oneshot-100,0,100,21,1788887902435256,1788887904635256,1788887904831023,195767
idle-interval-500,1,500,3,1788887902802197,1788887904802197,1788887904831131,28934
idle-anchored-100,3,100,23,1788887902483083,1788887904883083,1788887904893207,10124
idle-interval-100,1,100,21,1788887902528990,1788887904728990,1788887904924788,195798
idle-oneshot-100,0,100,22,1788887902435256,1788887904735256,1788887904940142,204886
idle-anchored-100,3,100,24,1788887902483083,1788887904983083,1788887904987410,4327
idle-interval-100,1,100,22,1788887902528990,1788887904828990,1788887905034378,205388
idle-oneshot-1000,0,1000,1,1788887903021315,1788887905021315,1788887905049883,28568
idle-oneshot-100,0,100,23,1788887902435256,1788887904835256,1788887905049955,214699
idle-anchored-1000,3,1000,1,1788887903070531,1788887905070531,1788887905081473,10942
idle-anchored-100,3,100,25,1788887902483083,1788887905083083,1788887905096646,13563
idle-interval-100,1,100,23,1788887902528990,1788887904928990,1788887905144096,215106
idle-oneshot-100,0,100,24,1788887902435256,1788887904935256,1788887905159187,223931
idle-anchored-100,3,100,26,1788887902483083,1788887905183083,1788887905189671,6588
idle-interval-100,1,100,24,1788887902528990,1788887905028990,1788887905252243,223253
idle-oneshot-500,0,500,4,1788887902710258,1788887905210258,1788887905267778,57520
idle-anchored-500,3,500,4,1788887902755558,1788887905255558,1788887905267851,12293
idle-oneshot-100,0,100,25,1788887902435256,1788887905035256,1788887905267907,232651
idle-interval-1000,1,1000,1,1788887903272705,1788887905272705,1788887905284327,11622
idle-anchored-100,3,100,27,1788887902483083,1788887905283083,1788887905284398,1315
idle-interval-500,1,500,4,1788887902802197,1788887905302197,1788887905339348,37151
idle-interval-100,1,100,25,1788887902528990,1788887905128990,1788887905361503,232513
idle-oneshot-100,0,100,26,1788887902435256,1788887905135256,1788887905376548,241292
idle-anchored-100,3,100,28,1788887902483083,1788887905383083,1788887905391770,8687
idle-interval-100,1,100,26,1788887902528990,1788887905228990,1788887905471022,242032
idle-oneshot-100,0,100,27,1788887902435256,1788887905235256,1788887905486428,251172
idle-anchored-100,3,100,29,1788887902483083,1788887905483083,1788887905486590,3507
idle-interval-100,1,100,27,1788887902528990,1788887905328990,1788887905581855,252865
idle-anchored-100,3,100,30,1788887902483083,1788887905583083,1788887905597590,14507
idle-oneshot-100,0,100,28,1788887902435256,1788887905335256,1788887905597669,262413
idle-interval-100,1,100,28,1788887902528990,1788887905428990,1788887905691722,262732
idle-anchored-100,3,100,31,1788887902483083,1788887905683083,1788887905691824,8741
idle-oneshot-100,0,100,29,1788887902435256,1788887905435256,1788887905707773,272517
idle-anchored-500,3,500,5,1788887902755558,1788887905755558,1788887905770691,15133
idle-oneshot-500,0,500,5,1788887902710258,1788887905710258,1788887905770810,60552
idle-anchored-100,3,100,32,1788887902483083,1788887905783083,1788887905786833,3750
idle-interval-100,1,100,29,1788887902528990,1788887905528990,1788887905802257,273267
idle-oneshot-100,0,100,30,1788887902435256,1788887905535256,1788887905817202,281946
idle-interval-500,1,500,5,1788887902802197,1788887905802197,1788887905840420,38223
idle-anchored-100,3,100,33,1788887902483083,1788887905883083,1788887905895565,12482
idle-interval-100,1,100,30,1788887902528990,1788887905628990,1788887905911691,282701
idle-oneshot-100,0,100,31,1788887902435256,1788887905635256,1788887905927311,292055
idle-anchored-100,3,100,34,1788887902483083,1788887905983083,1788887905990078,6995
idle-interval-100,1,100,31,1788887902528990,1788887905728990,1788887906021012,292022
idle-oneshot-100,0,100,32,1788887902435256,1788887905735256,1788887906036958,301702
idle-oneshot-1000,0,1000,2,1788887903021315,1788887906021315,1788887906052092,30777
idle-anchored-1000,3,1000,2,1788887903070531,1788887906070531,1788887906082938,12407
idle-anchored-100,3,100,35,1788887902483083,1788887906083083,1788887906099093,16010
idle-interval-100,1,100,32,1788887902528990,1788887905828990,1788887906130354,301364
idle-oneshot-100,0,100,33,1788887902435256,1788887905835256,1788887906145888,310632
idle-anchored-100,3,100,36,1788887902483083,1788887906183083,1788887906192376,9293
idle-interval-100,1,100,33,1788887902528990,1788887905928990,1788887906239427,310437
idle-oneshot-100,0,100,34,1788887902435256,1788887905935256,1788887906255141,319885
idle-anchored-500,3,500,6,1788887902755558,1788887906255558,1788887906270912,15354
idle-oneshot-500,0,500,6,1788887902710258,1788887906210258,1788887906286524,76266
idle-anchored-100,3,100,37,1788887902483083,1788887906283083,1788887906286686,3603
idle-interval-1000,1,1000,2,1788887903272705,1788887906272705,1788887906286761,14056
idle-interval-100,1,100,34,1788887902528990,1788887906028990,1788887906348650,319660
idle-interval-500,1,500,6,1788887902802197,1788887906302197,1788887906348797,46600
idle-interval-work50-1000,1,1000,0,1788887905341007,1788887906341007,1788887906348868,7861
idle-oneshot-100,0,100,35,1788887902435256,1788887906035256,1788887906364288,329032
idle-anchored-100,3,100,38,1788887902483083,1788887906383083,1788887906395353,12270
idle-interval-100,1,100,35,1788887902528990,1788887906128990,1788887906457774,328784
idle-oneshot-100,0,100,36,1788887902435256,1788887906135256,1788887906472776,337520
idle-anchored-100,3,100,39,1788887902483083,1788887906483083,1788887906488581,5498
idle-interval-100,1,100,36,1788887902528990,1788887906228990,1788887906565901,336911
idle-oneshot-100,0,100,37,1788887902435256,1788887906235256,1788887906581911,346655
idle-anchored-100,3,100,40,1788887902483083,1788887906583083,1788887906597430,14347
idle-interval-100,1,100,37,1788887902528990,1788887906328990,1788887906674341,345351
idle-oneshot-100,0,100,38,1788887902435256,1788887906335256,1788887906689999,354743
idle-anchored-100,3,100,41,1788887902483083,1788887906683083,1788887906690119,7036
idle-anchored-500,3,500,7,1788887902755558,1788887906755558,1788887906768101,12543
idle-interval-100,1,100,38,1788887902528990,1788887906428990,1788887906784001,355011
idle-anchored-100,3,100,42,1788887902483083,1788887906783083,1788887906784111,1028
idle-oneshot-500,0,500,7,1788887902710258,1788887906710258,1788887906799299,89041
idle-oneshot-100,0,100,39,1788887902435256,1788887906435256,1788887906799385,364129
idle-interval-500,1,500,7,1788887902802197,1788887906802197,1788887906861792,59595
idle-anchored-100,3,100,43,1788887902483083,1788887906883083,1788887906892374,9291
idle-interval-100,1,100,39,1788887902528990,1788887906528990,1788887906892582,363592
idle-oneshot-100,0,100,40,1788887902435256,1788887906535256,1788887906908024,372768
idle-anchored-100,3,100,44,1788887902483083,1788887906983083,1788887906986930,3847
idle-interval-100,1,100,40,1788887902528990,1788887906628990,1788887907002599,373609
idle-oneshot-100,0,100,41,1788887902435256,1788887906635256,1788887907018218,382962
idle-oneshot-1000,0,1000,3,1788887903021315,1788887907021315,1788887907063906,42591
idle-anchored-1000,3,1000,3,1788887903070531,1788887907070531,1788887907079507,8976
idle-anchored-100,3,100,45,1788887902483083,1788887907083083,1788887907095453,12370
idle-interval-100,1,100,41,1788887902528990,1788887906728990,1788887907111424,382434
idle-oneshot-100,0,100,42,1788887902435256,1788887906735256,1788887907126476,391220
idle-anchored-100,3,100,46,1788887902483083,1788887907183083,1788887907188573,5490
idle-interval-100,1,100,42,1788887902528990,1788887906828990,1788887907219754,390764
idle-oneshot-100,0,100,43,1788887902435256,1788887906835256,1788887907235175,399919
idle-anchored-500,3,500,8,1788887902755558,1788887907255558,1788887907266842,11284
idle-anchored-100,3,100,47,1788887902483083,1788887907283083,1788887907298164,15081
idle-interval-1000,1,1000,3,1788887903272705,1788887907272705,1788887907298283,25578
idle-oneshot-500,0,500,8,1788887902710258,1788887907210258,1788887907314138,103880
idle-interval-100,1,100,43,1788887902528990,1788887906928990,1788887907329207,400217
idle-oneshot-100,0,100,44,1788887902435256,1788887906935256,1788887907344116,408860
idle-interval-work50-1000,1,1000,1,1788887905341007,1788887907341007,1788887907359645,18638
idle-interval-500,1,500,8,1788887902802197,1788887907302197,1788887907375064,72867
idle-anchored-100,3,100,48,1788887902483083,1788887907383083,1788887907390600,7517
idle-interval-100,1,100,44,1788887902528990,1788887907028990,1788887907436921,407931
idle-oneshot-100,0,100,45,1788887902435256,1788887907035256,1788887907452748,417492
idle-anchored-100,3,100,49,1788887902483083,1788887907483083,1788887907484311,1228
idle-interval-100,1,100,45,1788887902528990,1788887907128990,1788887907545804,416814
idle-oneshot-100,0,100,46,1788887902435256,1788887907135256,1788887907560995,425739
