run_id,mode,bucket_ms,sequence,run_start_micros,scheduled_at_micros,fired_at_micros,drift_micros
catchup-leg,3,100,82,1789102499927387,1789102508227387,1789102511026803,2799416
catchup-leg,3,100,83,1789102499927387,1789102508327387,1789102511042660,2715273
catchup-leg,3,100,84,1789102499927387,1789102508427387,1789102511058647,2631260
catchup-leg,3,100,85,1789102499927387,1789102508527387,1789102511074279,2546892
catchup-leg,3,100,86,1789102499927387,1789102508627387,1789102511090250,2462863
catchup-leg,3,100,87,1789102499927387,1789102508727387,1789102511106152,2378765
catchup-leg,3,100,88,1789102499927387,1789102508827387,1789102511121686,2294299
catchup-leg,3,100,89,1789102499927387,1789102508927387,1789102511137266,2209879
catchup-leg,3,100,90,1789102499927387,1789102509027387,1789102511153095,2125708
catchup-leg,3,100,91,1789102499927387,1789102509127387,1789102511168850,2041463
catchup-leg,3,100,92,1789102499927387,1789102509227387,1789102511184928,1957541
catchup-leg,3,100,93,1789102499927387,1789102509327387,1789102511200305,1872918
catchup-leg,3,100,94,1789102499927387,1789102509427387,1789102511201728,1774341
catchup-leg,3,100,95,1789102499927387,1789102509527387,1789102511215693,1688306
catchup-leg,3,100,96,1789102499927387,1789102509627387,1789102511232167,1604780
catchup-leg,3,100,97,1789102499927387,1789102509727387,1789102511247413,1520026
catchup-leg,3,100,98,1789102499927387,1789102509827387,1789102511248419,1421032
catchup-leg,3,100,99,1789102499927387,1789102509927387,1789102511263987,1336600
catchup-leg,3,100,100,1789102499927387,1789102510027387,1789102511279163,1251776
catchup-leg,3,100,101,1789102499927387,1789102510127387,1789102511294549,1167162
catchup-leg,3,100,102,1789102499927387,1789102510227387,1789102511295666,1068279
catchup-leg,3,100,103,1789102499927387,1789102510327387,1789102511310216,982829
catchup-leg,3,100,104,1789102499927387,1789102510427387,1789102511326059,898672
catchup-leg,3,100,105,1789102499927387,1789102510527387,1789102511342228,814841
catchup-leg,3,100,106,1789102499927387,1789102510627387,1789102511358301,730914
catchup-leg,3,100,107,1789102499927387,1789102510727387,1789102511359661,632274
catchup-leg,3,100,108,1789102499927387,1789102510827387,1789102511373504,546117
catchup-leg,3,100,109,1789102499927387,1789102510927387,1789102511389234,461847
catchup-leg,3,100,110,1789102499927387,1789102511027387,1789102511404362,376975
catchup-leg,3,100,111,1789102499927387,1789102511127387,1789102511420883,293496
catchup-leg,3,100,112,1789102499927387,1789102511227387,1789102511436141,208754
catchup-leg,3,100,113,1789102499927387,1789102511327387,1789102511451879,124492
catchup-leg,3,100,114,1789102499927387,1789102511427387,1789102511467692,40305
catchup-leg,3,100,115,1789102499927387,1789102511527387,1789102511531248,3861
catchup-leg,3,100,116,1789102499927387,1789102511627387,1789102511639919,12532
catchup-leg,3,100,117,1789102499927387,1789102511727387,1789102511734299,6912
catchup-leg,3,100,118,1789102499927387,1789102511827387,1789102511842497,15110
catchup-leg,3,100,119,1789102499927387,1789102511927387,1789102511934482,7095
catchup-leg,3,100,120,1789102499927387,1789102512027387,1789102512042305,14918
catchup-leg,3,100,121,1789102499927387,1789102512127387,1789102512134431,7044
catchup-leg,3,100,122,1789102499927387,1789102512227387,1789102512243753,16366
catchup-leg,3,100,123,1789102499927387,1789102512327387,1789102512337736,10349
catchup-leg,3,100,124,1789102499927387,1789102512427387,1789102512430317,2930
catchup-leg,3,100,125,1789102499927387,1789102512527387,1789102512537306,9919
catchup-leg,3,100,126,1789102499927387,1789102512627387,1789102512630053,2666
catchup-leg,3,100,127,1789102499927387,1789102512727387,1789102512737607,10220
catchup-leg,3,100,128,1789102499927387,1789102512827387,1789102512830490,3103
catchup-leg,3,100,129,1789102499927387,1789102512927387,1789102512936163,8776
catchup-leg,3,100,130,1789102499927387,1789102513027387,1789102513031958,4571
catchup-leg,3,100,131,1789102499927387,1789102513127387,1789102513141145,13758
catchup-leg,3,100,132,1789102499927387,1789102513227387,1789102513234075,6688
catchup-leg,3,100,133,1789102499927387,1789102513327387,1789102513344009,16622
catchup-leg,3,100,134,1789102499927387,1789102513427387,1789102513438732,11345
catchup-leg,3,100,135,1789102499927387,1789102513527387,1789102513532124,4737
catchup-leg,3,100,136,1789102499927387,1789102513627387,1789102513640680,13293
catchup-leg,3,100,137,1789102499927387,1789102513727387,1789102513734204,6817
catchup-leg,3,100,138,1789102499927387,1789102513827387,1789102513843788,16401
catchup-leg,3,100,139,1789102499927387,1789102513927387,1789102513936814,9427
